x t u err
0.700000 0.060000 0.44303042 -0.00445486
0.800000 0.060000 0.32188044 -0.00323665
0.900000 0.060000 0.16922256 -0.00170161
1.000000 0.060000 0.00000000 -0.00000000
0.000000 0.065000 0.00000000 0.00000000
0.100000 0.065000 0.16094022 -0.00175392
0.200000 0.065000 0.30612649 -0.00333615
0.300000 0.065000 0.42134697 -0.00459181
0.400000 0.065000 0.49532307 -0.00539800
0.500000 0.065000 0.52081350 -0.00567579
0.600000 0.065000 0.49532307 -0.00539800
0.700000 0.065000 0.42134697 -0.00459181
0.800000 0.065000 0.30612649 -0.00333615
0.900000 0.065000 0.16094022 -0.00175392
1.000000 0.065000 0.00000000 -0.00000000
0.000000 0.070000 0.00000000 0.00000000
0.100000 0.070000 0.15306325 -0.00179714
0.200000 0.070000 0.29114360 -0.00341836
0.300000 0.070000 0.40072478 -0.00470497
0.400000 0.070000 0.47108024 -0.00553102
0.500000 0.070000 0.49532307 -0.00581566
0.600000 0.070000 0.47108024 -0.00553102
0.700000 0.070000 0.40072478 -0.00470497
0.800000 0.070000 0.29114360 -0.00341836
0.900000 0.070000 0.15306325 -0.00179714
1.000000 0.070000 0.00000000 -0.00000000
0.000000 0.075000 0.00000000 0.00000000
0.100000 0.075000 0.14557180 -0.00183203
0.200000 0.075000 0.27689401 -0.00348473
0.300000 0.075000 0.38111192 -0.00479631
0.400000 0.075000 0.44802393 -0.00563840
0.500000 0.075000 0.47108024 -0.00592857
0.600000 0.075000 0.44802393 -0.00563840
0.700000 0.075000 0.38111192 -0.00479631
0.800000 0.075000 0.27689401 -0.00348473
0.900000 0.075000 0.14557180 -0.00183203
1.000000 0.075000 0.00000000 -0.00000000
0.000000 0.080000 0.00000000 0.00000000
0.100000 0.080000 0.13844701 -0.00185930
0.200000 0.080000 0.26334186 -0.00353659
0.300000 0.080000 0.36245897 -0.00486770
0.400000 0.080000 0.42609608 -0.00572233
0.500000 0.080000 0.44802393 -0.00601681
0.600000 0.080000 0.42609608 -0.00572233
0.700000 0.080000 0.36245897 -0.00486770
0.800000 0.080000 0.26334186 -0.00353659
0.900000 0.080000 0.13844701 -0.00185930
1.000000 0.080000 0.00000000 -0.00000000
0.000000 0.085000 0.00000000 0.00000000
0.100000 0.085000 0.13167093 -0.00187960
0.200000 0.085000 0.25045299 -0.00357521
0.300000 0.085000 0.34471897 -0.00492086
0.400000 0.085000 0.40524145 -0.00578481
0.500000 0.085000 0.42609608 -0.00608251
0.600000 0.085000 0.40524145 -0.00578481
0.700000 0.085000 0.34471897 -0.00492086
0.800000 0.085000 0.25045299 -0.00357521
0.900000 0.085000 0.13167093 -0.00187960
1.000000 0.085000 0.00000000 -0.00000000
0.000000 0.090000 0.00000000 0.00000000
0.100000 0.090000 0.12522649 -0.00189355
0.200000 0.090000 0.23819495 -0.00360175
0.300000 0.090000 0.32784722 -0.00495738
0.400000 0.090000 0.38540752 -0.00582775
0.500000 0.090000 0.40524145 -0.00612766
0.600000 0.090000 0.38540752 -0.00582775
0.700000 0.090000 0.32784722 -0.00495738
0.800000 0.090000 0.23819495 -0.00360175
0.900000 0.090000 0.12522649 -0.00189355
1.000000 0.090000 0.00000000 -0.00000000
0.000000 0.095000 0.00000000 0.00000000
0.100000 0.095000 0.11909747 -0.00190172
0.200000 0.095000 0.22653686 -0.00361728
0.300000 0.095000 0.31180123 -0.00497876
0.400000 0.095000 0.36654433 -0.00585288
0.500000 0.095000 0.38540752 -0.00615408
0.600000 0.095000 0.36654433 -0.00585288
0.700000 0.095000 0.31180123 -0.00497876
0.800000 0.095000 0.22653686 -0.00361728
0.900000 0.095000 0.11909747 -0.00190172
1.000000 0.095000 0.00000000 -0.00000000
0.000000 0.100000 0.00000000 0.00000000
0.100000 0.100000 0.11326843 -0.00190463
0.200000 0.100000 0.21544935 -0.00362282
0.300000 0.100000 0.29654060 -0.00498638
0.400000 0.100000 0.34860438 -0.00586184
0.500000 0.100000 0.36654433 -0.00616350
0.600000 0.100000 0.34860438 -0.00586184
0.700000 0.100000 0.29654060 -0.00498638
0.800000 0.100000 0.21544935 -0.00362282
0.900000 0.100000 0.11326843 -0.00190463
1.000000 0.100000 0.00000000 -0.00000000
0.000000 0.105000 0.00000000 0.00000000
0.100000 0.105000 0.10772468 -0.00190277
0.200000 0.105000 0.20490451 -0.00361929
0.300000 0.105000 0.28202687 -0.00498153
0.400000 0.105000 0.33154246 -0.00585614
0.500000 0.105000 0.34860438 -0.00615751
0.600000 0.105000 0.33154246 -0.00585614
0.700000 0.105000 0.28202687 -0.00498153
0.800000 0.105000 0.20490451 -0.00361929
0.900000 0.105000 0.10772468 -0.00190277
1.000000 0.105000 0.00000000 -0.00000000
0.000000 0.110000 0.00000000 0.00000000
0.100000 0.110000 0.10245226 -0.00189661
0.200000 0.110000 0.19487577 -0.00360757
0.300000 0.110000 0.26822349 -0.00496540
0.400000 0.110000 0.31531562 -0.00583717
0.500000 0.110000 0.33154246 -0.00613757
0.600000 0.110000 0.31531562 -0.00583717
0.700000 0.110000 0.26822349 -0.00496540
0.800000 0.110000 0.19487577 -0.00360757
0.900000 0.110000 0.10245226 -0.00189661
1.000000 0.110000 0.00000000 -0.00000000
0.000000 0.115000 0.00000000 0.00000000
0.100000 0.115000 0.09743789 -0.00188656
0.200000 0.115000 0.18533787 -0.00358846
0.300000 0.115000 0.25509570 -0.00493909
0.400000 0.115000 0.29988298 -0.00580625
0.500000 0.115000 0.31531562 -0.00610505
0.600000 0.115000 0.29988298 -0.00580625
0.700000 0.115000 0.25509570 -0.00493909
0.800000 0.115000 0.18533787 -0.00358846
0.900000 0.115000 0.09743789 -0.00188656
1.000000 0.115000 0.00000000 -0.00000000
0.000000 0.120000 0.00000000 0.00000000
0.100000 0.120000 0.09266894 -0.00187302
0.200000 0.120000 0.17626679 -0.00356270
0.300000 0.120000 0.24261042 -0.00490364
0.400000 0.120000 0.28520566 -0.00576457
0.500000 0.120000 0.29988298 -0.00606123
0.600000 0.120000 0.28520566 -0.00576457
0.700000 0.120000 0.24261042 -0.00490364
0.800000 0.120000 0.17626679 -0.00356270
0.900000 0.120000 0.09266894 -0.00187302
1.000000 0.120000 0.00000000 -0.00000000
0.000000 0.125000 0.00000000 0.00000000
0.100000 0.125000 0.08813340 -0.00185635
0.200000 0.125000 0.16763968 -0.00353099
